1 2 3 4 5 6 7 8 9 10 
2 4 6 8 10 12 14 16 18 20 
3 6 9 12 15 18 21 24 27 30 
4 8 12 16 20 24 28 32 36 40 
5 10 15 20 25 30 35 40 45 50 
6 12 18 24 30 36 42 48 54 60 
7 14 21 28 35 42 49 56 63 70 
8 16 24 32 40 48 56 64 72 80 
9 18 27 36 45 54 63 72 81 90 
10 20 30 40 50 60 70 80 90 100 
1.00 0.50 0.33 0.25 0.20 0.17 0.14 0.12 0.11 0.10 
0.50 0.25 0.17 0.12 0.10 0.08 0.07 0.06 0.06 0.05 
0.33 0.17 0.11 0.08 0.07 0.06 0.05 0.04 0.04 0.03 
0.25 0.12 0.08 0.06 0.05 0.04 0.04 0.03 0.03 0.03 
0.20 0.10 0.07 0.05 0.04 0.03 0.03 0.03 0.02 0.02 
0.17 0.08 0.06 0.04 0.03 0.03 0.02 0.02 0.02 0.02 
0.14 0.07 0.05 0.04 0.03 0.02 0.02 0.02 0.02 0.01 
0.12 0.06 0.04 0.03 0.03 0.02 0.02 0.02 0.01 0.01 
0.11 0.06 0.04 0.03 0.02 0.02 0.02 0.01 0.01 0.01 
0.10 0.05 0.03 0.03 0.02 0.02 0.01 0.01 0.01 0.01
